Station,Longitude,Latitude,Route
Bhel Gate -1,23.25102043,77.45980072,TR3
Jubli Gate – Bhel,23.25033951,77.46299744,TR3
Bima Hospital,23.24983215,77.46750641,TR3
Piplani Pump,23.24910355,77.4718399,TR3
Kalpana Nagar,23.24972725,77.47714996,TR3
Ratnagiri Bypass,23.25010109,77.47882843,TR3
Prakash Nagar,23.25810432,77.47951508,TR3
Rajiv Gandhi Nagar,23.2565937,77.48345947,TR3
Century Garden,23.26511574,77.47123718,TR3
Narela Shankri,23.27067566,77.46302795,TR3
Sagar Avenue,23.27220726,77.46840668,TR3
Ayodhya Bypass,23.27833939,77.46733093,TR3
Gardan,23.27690315,77.46582794,TR3
Ayodhya Naga,23.26440048,77.47593689,TR3
Sehore Naka,23.26959038,77.32872772,TR4
Kalimata Mandir,23.27044868,77.33410645,TR4
Chanchal Chouraha,23.27105904,77.33654022,TR4
Civil Hospital,23.27205276,77.34080505,TR4
St. Hirdaram Chouraha,23.27275467,77.34391785,TR4
Pump House,23.27355194,77.3495636,TR4
Sundarvan Gardan,23.27374077,77.35884857,TR4
Halalpur Bus Staind,23.27383423,77.36322021,TR4
Lalghati,23.27306938,77.36846924,TR4
Vip Guest House,23.27121925,77.37582397,TR4
Koh-E-Fiza,23.26911736,77.37727356,TR4
Collectorate,23.26358795,77.38312531,TR4
Sbi Chouraha,23.26187897,77.38874054,TR4
Royal Market,23.26150322,77.39205933,TR4
Hamidia Hospital Gate No.02,23.25872231,77.39507294,TR4
Moti Masjid,23.25592232,77.39857483,TR4
Kamla Park,23.25196648,77.39789581,TR4
Polytechnic,23.24457741,77.39684296,TR4
Ravindra Bhavan,23.24323654,77.39744568,TR4
Roshanpura,23.23756409,77.40115356,TR4
New Market Top & Town,23.23437881,77.40141296,TR4
Nanke Petrol Pump,23.23324776,77.4030838,TR4
Prakash Tarun Pushkar,23.23270798,77.41160583,TR4
1250 Hospital,23.23146248,77.41585541,TR4
Red Cross Hospital,23.23147583,77.41785431,TR4
Cangress Bhawan,23.23126602,77.42153931,TR4
Vyapam,23.23079109,77.42773438,TR4
Board Office,23.23130226,77.432724,TR4
Jyoti Takiz,23.23368263,77.43408203,TR4
Kasturwa Nagar,23.23284149,77.44184113,TR4
Isbt,23.22909546,77.44200134,TR4
Dudh Dairy,23.22394371,77.44197083,TR4
Habibganj Railway Station,23.22178268,77.43771362,TR4
Habibganj Naka,23.21614647,77.44187164,TR4
Ampri,23.20774269,77.44474792,TR4
Narayan Nagar,23.20410919,77.44606018,TR4
University Gate,23.20056152,77.44733429,TR4
Vidhya Nagar,23.19541168,77.44908142,TR4
Bagsewaniya Junction,23.19236565,77.4500885,TR4
Ahemadpur Railway Station,23.1885376,77.45156097,TR4
Paras Harrmitage,23.18350792,77.45458984,TR4
Chinar Fortune City,23.17835999,77.45793152,TR4
Kali Mata Mandir,23.17455292,77.46031952,TR4
Shri Ram Colony,23.17135811,77.46237946,TR4
R.K.D.F. College,23.16838837,77.46439362,TR4
Allahabad Bank,23.16534042,77.46666718,TR4
Misrod,23.16177368,77.46949005,TR4
