id,station,latitude,longitude,route,link
SR5-41,Carrier College,23.23168945,77.45013428,SR5,"https://www.google.com/maps/place/23.23168945,77.45013428"
SR5-42,Govindpura Thana,23.23186493,77.45454407,SR5,"https://www.google.com/maps/place/23.23186493,77.45454407"
SR5-43,Bhel Gate – 6,23.23167801,77.45968628,SR5,"https://www.google.com/maps/place/23.23167801,77.45968628"
SR5-44,Vijay Market,23.228899,77.46619415,SR5,"https://www.google.com/maps/place/23.228899,77.46619415"
SR5-45,Mahatma Gandhi Chouraha,23.2319088,77.47199249,SR5,"https://www.google.com/maps/place/23.2319088,77.47199249"
SR5-46,Ayappa Mandir,23.23133659,77.47647095,SR5,"https://www.google.com/maps/place/23.23133659,77.47647095"
SR5-47,Saint Xavier School,23.2303772,77.48091125,SR5,"https://www.google.com/maps/place/23.2303772,77.48091125"
SR5-48,Avadhpuri,23.23015022,77.48556519,SR5,"https://www.google.com/maps/place/23.23015022,77.48556519"
SR5-49,Shiv Mandir,23.22933197,77.49030304,SR5,"https://www.google.com/maps/place/23.22933197,77.49030304"
SR5-50,Avadhpuri Vidyasagar College,23.22767639,77.49562836,SR5,"https://www.google.com/maps/place/23.22767639,77.49562836"
SR6-1,Rajeev Gandhi College,23.18857765,77.43373108,SR6,"https://www.google.com/maps/place/23.18857765,77.43373108"
SR6-2,Gulmohar,23.18884468,77.43621063,SR6,"https://www.google.com/maps/place/23.18884468,77.43621063"
SR6-3,Trilanga,23.19367027,77.43278503,SR6,"https://www.google.com/maps/place/23.19367027,77.43278503"
SR6-4,Saitansingh Market,23.1993103,77.43023682,SR6,"https://www.google.com/maps/place/23.1993103,77.43023682"
SR6-5,Campion School,23.20632362,77.43114471,SR6,"https://www.google.com/maps/place/23.20632362,77.43114471"
SR6-6,Vitthal Market/1100 Q.Chu.,23.21149635,77.43119812,SR6,"https://www.google.com/maps/place/23.21149635,77.43119812"
SR6-7,Baghira Apartment,23.21415901,77.43048859,SR6,"https://www.google.com/maps/place/23.21415901,77.43048859"
SR6-8,Habibganj Thana,23.21846581,77.42897797,SR6,"https://www.google.com/maps/place/23.21846581,77.42897797"
SR6-9,Bittan Mkt/Dhsera Maidan,23.22214699,77.43122864,SR6,"https://www.google.com/maps/place/23.22214699,77.43122864"
SR6-10,Subhash School,23.22320938,77.42995453,SR6,"https://www.google.com/maps/place/23.22320938,77.42995453"
SR6-11,Nutan College,23.22400856,77.42840576,SR6,"https://www.google.com/maps/place/23.22400856,77.42840576"
SR6-12,5 No.Stop,23.22588158,77.42282867,SR6,"https://www.google.com/maps/place/23.22588158,77.42282867"
SR6-13,1250/ Pranami Mandir,23.2259903,77.41833496,SR6,"https://www.google.com/maps/place/23.2259903,77.41833496"
SR6-14,Narmada Bhawan,23.22496796,77.412323,SR6,"https://www.google.com/maps/place/23.22496796,77.412323"
SR6-15,Jain Mandir,23.22532845,77.40740204,SR6,"https://www.google.com/maps/place/23.22532845,77.40740204"
SR6-16,Mata Mandir,23.22461319,77.40226746,SR6,"https://www.google.com/maps/place/23.22461319,77.40226746"
SR6-17,Teen Shed,23.23191643,77.40145874,SR6,"https://www.google.com/maps/place/23.23191643,77.40145874"
SR6-18,Rangmahal (Gtb Complex),23.2356739,77.39878845,SR6,"https://www.google.com/maps/place/23.2356739,77.39878845"
SR6-19,Roshanpura,23.23756409,77.40115356,SR6,"https://www.google.com/maps/place/23.23756409,77.40115356"
SR6-20,Airtel Office (Malviya Nagar),23.24048996,77.40636444,SR6,"https://www.google.com/maps/place/23.24048996,77.40636444"
SR6-21,Birla Mandir,23.2376461,77.4083786,SR6,"https://www.google.com/maps/place/23.2376461,77.4083786"
SR6-22,New Vidhan Sabha,23.23908615,77.4129715,SR6,"https://www.google.com/maps/place/23.23908615,77.4129715"
SR6-23,Naramda Bhavan,23.23502922,77.42811584,SR6,"https://www.google.com/maps/place/23.23502922,77.42811584"
SR6-24,D.B.Mall,23.23370171,77.43018341,SR6,"https://www.google.com/maps/place/23.23370171,77.43018341"
